State,Senator,Official Senator Twitter Id,Senate Staff Twitter Id,Campaign/Other ID,Facebook (WIP)
Vermont,Bernie Sanders,@SenatorSanders,,@FriendsOfBernie,
Virginia,Tim Kaine,@timkaine,@SenKaineOffice,,
Virginia,Mark Warner,@MarkWarner,,@MarkWarnerVA,
Washington,Patty Murray,@PattyMurray,,@MurrayCampaign,
Washington,Maria Cantwell,@SenatorCantwell,,@MariaCantwell,
West Virginia,Shelley Moore Capito,@SenCapito,, @CapitoforWV,
West Virginia,Joe Manchin,@Sen_JoeManchin,,@JoeManchinWV,
Wisconsin,Tammy Baldwin, @SenatorBaldwin,,@tammybaldwin,
Wisconsin,Ron Johnson,@SenRonJohnson,,@Ron4Senate,
Wyoming,Mike Enzi,@SenatorEnzi,,@EnziforWyo,
Wyoming,John Barrasso,@SenJohnBarrasso,,@barrassoforwyo,
